file,storage consumption
1,409909301
2,991885953
3,1471199439
4,2183778974
5,2996326592
6,2836312732
7,3238038121
8,3656564198
9,4098689353
10,4573728822
11,4970009752
12,5399055491
13,5986478524
14,10913834911
15,11291253074
16,11811198944
17,7491065060
18,7925003532
19,8390699193
20,8880118489
21,9225030328
22,9667337831
23,10044576917
24,10468950748
25,11001764392
26,11475966435
27,11780859466
28,12488927747
29,12589671447
30,13111268016
31,13428333087
