file,storage consumption
1,409900972
2,788944410
3,1227561762
4,1925540802
5,2249692414
6,2560825530
7,2958261579
8,3371402983
9,3789837377
10,4219180018
11,4668766575
12,5092386917
13,5180755006
14,10601232847
15,10978651010
16,11029522020
17,11455826092
18,11876107884
19,12318058431
20,12741262768
21,13149234372
22,13607568209
23,13955948541
24,14394474457
25,14816327291
26,15254167667
27,15701872107
28,16146769153
29,16472419136
30,16872984050
31,17240892561
