file,storage consumption
533,160331245
534,160373064
535,161730966
536,161752925
537,163263523
538,163270067
539,164772067
540,164776559
541,164884657
542,164889068
543,166434248
544,166573037
545,166681193
546,166702720
547,166705685
548,167067922
549,167073607
550,168564476
551,168934424
552,168939915
553,169035573
554,169039784
555,169043048
556,169049221
557,169423493
558,169428325
559,169434023
560,169435161
561,169438196
562,169811742
563,169816719
564,169854663
565,170306845
566,170321220
567,170755089
568,172188380
569,172364056
570,172369618
571,172379981
572,172385865
573,173890683
574,174268924
575,174275097
576,174307960
577,174702491
578,174706334
579,174712172
580,174728343
581,174738373
582,174742984
583,175119881
584,176695766
585,176702907
586,176748781
587,176886811
588,176923834
589,176958447
590,177429210
591,177657083
592,177701439
593,177746540
594,178118563
595,178371466
596,178910743
597,179082190
598,179169956
599,179170872
600,179184725
601,179223311
602,179329930
603,179601779
604,179641911
605,179974915
606,181484760
607,181491316
608,181497331
609,181534462
610,181925562
611,182293588
612,184081032
613,185912662
614,185918807
615,187737600
616,187744144
617,187788239
618,189288588
619,189761007
620,190144901
621,190151344
622,192611043
623,194069075
624,194438189
625,194575358
626,194608621
627,194613126
628,194619710
629,195045672
630,195047597
631,195435604
632,195841228
633,197380730
634,197796123
635,198128822
636,198133510
637,198277813
638,198280928
639,198336733
640,198336843
641,198358575
642,198369488
643,198380446
644,198398867
645,198443587
646,199928960
647,199934249
648,201472557
649,201513894
650,201557085
651,201593377
652,201658640
653,203175209
654,203193889
655,203578501
656,203584246
657,203660505
658,203666010
659,205466584
660,205929187
661,206263453
662,206265074
663,207413229
664,207419892
665,207694778
666,209230702
667,209231514
668,209623744
669,209996711
670,211428471
671,211453691
672,211455542
673,211462668
674,211465815
675,211801728
676,211941042
677,211942051
678,211955383
679,211967614
680,211968226
681,212305576
682,212308501
683,213327848
684,213366038
685,213370322
686,213375252
687,213957798
688,213964259
689,214025754
690,214056963
691,214424607
692,214430625
693,214481473
694,214492930
695,215999884
696,216333907
697,216374073
698,216682378
699,217016025
700,217020124
701,218456221
702,218461285
703,219994886
704,219999596
705,220005524
706,220010016
707,220015792
708,220352298
709,220353296
710,220363659
711,220458835
712,220469748
713,220483939
714,222029199
715,222066361
716,222069889
717,222073768
718,222408148
719,222412695
720,222748946
721,222833691
722,223188400
723,223222821
724,223228326
725,223291726
726,223296082
727,223300461
728,223508768
729,223841609
730,224311460
731,224449804
732,224623823
733,224624835
734,224666120
735,224668345
736,225040694
737,225049308
738,225053664
739,225058594
740,225609767
741,225616323
742,225622088
743,225908575
744,225934498
745,225938070
746,226238646
747,226694501
748,226698868
749,228503505
750,228504508
751,228856790
752,229195883
753,229201491
754,229207504
755,229270747
756,229271672
757,229272872
758,230834937
759,230841623
760,230983218
761,230998899
762,231012752
763,231026937
764,232357195
765,233839400
766,233845008
767,233851250
768,235274406
769,235277432
770,235390880
771,235612552
772,235845466
773,235851757
774,236235717
775,236237627
776,236308865
777,236749809
778,236754907
779,236759176
780,236795639
781,236916668
782,236925593
783,236929671
784,237258888
785,237650794
786,237655440
787,237991685
788,238008004
789,238516688
790,238930957
791,238941870
792,238942988
793,238987693
794,238993894
795,239133757
796,239134660
797,239140362
798,239189346
799,239191086
800,240154902
801,240165092
802,240177726
803,241637749
804,242955860
805,242970552
806,243349814
807,243778442
808,243784725
809,243788212
810,244162241
811,244186174
812,244189038
813,244190635
814,245731433
815,247160755
816,247163027
817,247600002
818,247633975
819,247675902
820,247792992
821,247797639
822,247802123
823,248118171
824,248648874
825,248708263
826,248742015
827,248746426
828,248752599
829,248759162
830,250482726
831,252008725
832,252010032
833,252014688
834,252014798
835,252045771
836,252443972
837,252517650
838,253913994
839,253916307
840,254373323
841,254394875
842,254437892
843,254441805
844,254522734
845,254527384
846,254744470
847,254758661
848,256539895
849,256542670
850,256742805
851,257125356
852,257671079
853,257712274
854,258049558
855,258054738
856,258059007
857,258278992
858,258652585
859,258658147
860,258660715
861,258664455
862,258702680
863,258706885
864,258815654
865,260342159
866,260449197
867,261606096
868,261612338
869,261948017
870,262481901
871,262838307
872,263198202
873,264598870
874,264972464
875,265348091
876,266621140
877,266627696
878,266670518
879,266676892
880,266681159
881,267031212
882,268540963
883,269790987
884,269834694
885,269839915
886,269863310
887,269867495
888,269871402
889,269876070
890,269888821
891,269907672
892,271161108
893,271253335
894,272659659
895,272673540
896,272679782
897,272683490
898,272757160
899,273094335
900,273401715
901,273412628
902,273420429
903,273453405
904,273464318
905,273469090
906,273473450
907,273484132
908,273493413
909,273498081
910,273642677
911,273660996
912,273663182
913,273904155
914,275423384
915,275812582
916,275881238
917,276249719
918,276256236
919,277789834
920,277907809
921,277927268
922,278328665
923,278466743
924,280001617
925,280147047
926,280479913
927,280624056
928,280624981
929,280719525
930,280720558
931,281086218
932,282570493
933,282575054
934,282953397
935,282960048
936,283076485
937,284491249
938,284579659
939,284613935
940,284716247
941,284795986
942,284797127
943,284797237
944,285128432
945,285374947
946,285388828
947,285432031
948,285433040
949,285437313
950,285440967
951,286664844
952,286838669
953,286851128
954,286877355
955,287821358
956,287825451
957,287884068
958,287895525
959,287899265
960,287912567
961,288297472
962,288659339
963,289057157
964,289071038
965,290409927
966,291941922
967,292281011
968,292321006
969,292323534
970,292692884
971,292723526
972,292728083
973,293009687
974,293023878
975,293357813
976,293358822
977,294488321
978,296031073
979,296037944
980,296042474
981,296408885
982,296413016
983,297869819
984,297888817
985,297889996
986,297898752
987,298414580
988,298655572
989,300181100
990,300185507
991,300529664
992,301014101
993,301020777
994,301034658
995,301039588
996,301041105
997,301044349
998,301098595
999,301104609
1000,302539237
1001,302713032
1002,302718741
1003,302722939
1004,303856959
1005,304274808
1006,304279313
1007,304323726
1008,304323836
1009,304341904
1010,306787369
1011,306800997
1012,307142673
1013,307477838
1014,307482860
1015,308552453
1016,308596415
1017,308655317
1018,308702571
1019,308709155
1020,308713767
1021,308717590
1022,308718616
1023,308761620
1024,308774956
1025,308895520
1026,310033281
1027,310284002
1028,310288095
1029,310292992
1030,310295432
1031,310686255
1032,312221646
1033,312629820
1034,312636158
1035,312637637
1036,312972498
1037,313309561
1038,313357107
1039,313736169
1040,313777012
1041,313791444
1042,313797146
1043,313801910
1044,315340197
1045,315726847
1046,315733462
1047,315741107
1048,315747568
1049,315753703
1050,316148117
1051,316435130
1052,316853310
1053,317214242
1054,317283806
1055,318381965
1056,318829987
1057,318835568
1058,319243821
1059,320751946
1060,320754020
1061,320756133
1062,320901879
1063,321166178
1064,321194644
1065,321198787
1066,321467977
1067,321471909
1068,321477869
1069,321496815
1070,321876497
1071,321881427
1072,322338239
1073,322373052
1074,322751872
1075,323123761
1076,323129453
1077,323135997
1078,323227017
1079,323231410
1080,323241243
1081,323242544
1082,323249003
1083,323254174
1084,323591960
1085,323595249
1086,323606371
1087,323983404
1088,323985234
1089,323989217
1090,324010862
1091,324016825
1092,325184852
1093,325188635
1094,326402185
1095,328138340
1096,328146924
1097,328154236
1098,328157723
1099,328194888
1100,328564951
1101,328569280
1102,328899245
1103,328936520
1104,328950019
1105,328953165
1106,328957532
1107,329292672
1108,329626969
1109,331072795
1110,331078808
1111,331086100
1112,331097416
1113,331108423
1114,331114665
1115,332304732
1116,332304842
1117,332309300
1118,332315559
