file,storage consumption
1,413145500
2,810581549
3,1218553153
4,6639030994
5,7060883828
6,7490226469
7,7838606801
8,8280557348
9,8698991742
10,9148578299
11,9236946388
12,9657228180
13,10025136691
14,10723115731
15,11047267343
16,11492164389
17,11543035399
18,11980875775
19,12404080112
20,12813976988
21,13240281060
22,13551414176
23,13877064159
24,14324768599
25,14748388941
26,15125807104
27,15504850542
28,15963184379
29,16363749293
30,16802366645
31,17240892561
