file,storage consumption
1,18978504
2,40501570
3,62056533
4,82506115
5,104058033
6,125769131
7,144942559
8,163923017
9,182978740
10,205377733
11,208427159
12,497510046
13,520423154
14,542447075
15,565313337
16,568208062
17,586574043
18,607610532
19,628547659
20,651580230
21,673925719
22,697433326
23,720197009
24,742615428
25,760314457
26,782186283
27,802540802
28,817841720
29,855743330
30,876956302
31,898430337
