file,original,basic size,basic dedup ratio,percentage difference,opt size,opt dedup ratio,opt percentage difference
0,0,0,0,0,0,0,
1,51906772,43003904,1.20702464594842,0.828483497297809,53420032,0.971672424307046,1.02915342144566
2,103813544,84536320,1.22803481391194,0.814309161818038,687714304,0.150954463788498,6.6245142733977
3,155720316,126232576,1.23359849679373,0.810636526065102,731602944,0.212848126537883,4.69818558549547
4,207627088,168356352,1.23325960400948,0.810859284410905,775921664,0.267587692976182,3.73709264756437
5,259536192,211735552,1.22575632456849,0.815822835221378,821497856,0.315930455696771,3.16525356124513
6,311442964,253856768,1.22684522636009,0.815098741482566,1013452800,0.307308800173032,3.25405585338573
7,363349736,295669248,1.22890607818639,0.813731836590629,1057460224,0.343606055105861,2.91030959769295
8,415256508,337435136,1.23062616692057,0.81259445547329,1101426688,0.377016929518962,2.65240078549232
9,467163280,380028928,1.22928347180981,0.813482018535361,1294393344,0.360912918909447,2.7707514683089
10,519070052,422189568,1.22947152498093,0.813357592820631,1338241024,0.38787486162134,2.5781510970315
11,570979156,464736768,1.22860766635103,0.813929480816284,1382981632,0.412860982957726,2.42212279987328
12,622885928,507605504,1.22710633177059,0.814925303626381,1428054016,0.436178128432923,2.29264131971207
13,674792700,549414400,1.22820351996599,0.814197308299275,1472069632,0.458397269620463,2.18151386640668
14,720407920,589884416,1.2212696258109,0.818820004088795,1662259200,0.433390845422904,2.30738607093603
15,772317024,632455680,1.22114015008925,0.818906822388004,1707024384,0.452434675941923,2.21026383072452
16,824223796,675792896,1.219639627582,0.819914323366611,1752580096,0.47029165621655,2.12634008445929
17,876130568,717365760,1.22131640071586,0.818788644297136,1796349952,0.487728221900495,2.05032219809502
18,921745788,756516864,1.21840745641329,0.820743499833601,1837559808,0.501614033996111,1.99356463780228
19,973652560,799657984,1.21758624247038,0.821297058983751,1883168768,0.517028838065352,1.9341280918524
20,1025559332,841535488,1.21867627286563,0.820562459666644,1926975488,0.532211924015922,1.8789507616708
21,1071174552,880478720,1.21658198848917,0.821975016449046,1967980544,0.54430139325605,1.83721741739063
22,1123081324,923197440,1.21651260644744,0.822021896608442,2012913664,0.557938149104839,1.79231336234027
23,1174988096,966167552,1.21613284731798,0.822278587578133,2058092544,0.570911205827681,1.75158586798142
24,1220605360,1008195584,1.21068310491628,0.825979974395656,2102194176,0.580633974699015,1.72225540284372
25,1266220580,1048528384,1.20761688412242,0.828077193311769,2144600064,0.590422709229202,1.69370179088386
26,1318127352,1090475520,1.20876381709146,0.827291474033535,2188730368,0.602233775010152,1.6604847510971
27,1370034124,1134364160,1.20775512160046,0.827982413086231,2382475264,0.575046526065422,1.73898972460922
28,1421940896,1176847872,1.2082622825187,0.827634872385019,2427166720,0.585843932467894,1.70693924538478
29,1473847668,1219332096,1.2087335950845,0.827312158830244,2471858176,0.596250902381869,1.67714630871879
30,1525756772,1263002624,1.20803927324224,0.827787657363254,2517729280,0.606005095194349,1.65015114217694
31,1577663544,1305004032,1.20893384642048,0.827175120426057,2561916928,0.615813700576009,1.62386773640248
32,1629572648,1348197888,1.20870434711733,0.82733217795148,2607316992,0.624999818970995,1.60000046343439
33,1681479420,1391502336,1.20839137419889,0.827546456679202,2653351936,0.633718956458854,1.57798656613948
34,1727096684,1433660928,1.2046758408973,0.830098824971168,2697060352,0.640362638796449,1.56161515275077
35,1779003456,1475426304,1.20575555090551,0.8293555018254,2741526528,0.648909809126603,1.5410462069389
36,1830910228,1517250048,1.20672939204283,0.828686204706701,2785021952,0.657413212375283,1.52111332899277
37,1882817000,1559754752,1.2071237465927,0.828415481695778,2829737984,0.665367963622741,1.50292778533442
38,1934723772,1602120192,1.20760213975257,0.828087303824166,2874314752,0.673107832276818,1.48564606151953
39,1986630544,1644729344,1.20787687727909,0.827898951300932,2919133184,0.680554952027841,1.46938905818011
40,2038537316,1686483456,1.20875026004406,0.827300752732456,2963083264,0.687978411125743,1.45353398279416
41,2084154580,1728426496,1.20581036267567,0.82931780232923,3007614976,0.69295923734621,1.44308632615917
42,2136061352,1770015232,1.20680393783188,0.828635015723088,3050876928,0.700146679925333,1.42827214449784
43,2181676572,1810699264,1.20488068636007,0.829957697322699,3093639168,0.70521365082484,1.41800998722922
44,2233583344,1853812224,1.20485954029398,0.829972263618384,3138965504,0.711566706022648,1.40534962012145
45,2279198564,1894219776,1.20323871225384,0.831090281434558,3181445120,0.716403545568625,1.39586132171677
46,2324813784,1934797824,1.20157969745577,0.832237763435422,3224100864,0.721073527803875,1.3868211235623
47,2376722888,1978413568,1.2013276326257,0.832412385132886,3270447104,0.72672720653182,1.37603214935674
48,2428629660,2022511104,1.20079917247268,0.832778721808083,3316756480,0.732230320388188,1.36569051042554
49,2480536432,2065114112,1.20116192010217,0.832527224901489,3361046528,0.738025020283206,1.35496761290866
50,2532443204,2109525504,1.20048001277922,0.833000124412662,3408191488,0.743046044483285,1.34581161884174
51,2584349976,2152023552,1.20089297981809,0.832713669582343,3452891136,0.748459732499368,1.33607722176402
52,2636256748,2194576896,1.20125968372539,0.832459470294355,3497656320,0.75372092247188,1.3267510164378
53,2688163520,2236952576,1.20170787205817,0.832148996650323,3542241280,0.758887751429513,1.31771793406377
54,2740070292,2280543744,1.20149867732596,0.832293883357063,3588046848,0.763666252999827,1.30947255567705
55,2791977064,2323304448,1.20172673297443,0.832135936199797,3633016832,0.768500998786454,1.30123448320706
56,2843883836,2366217728,1.20186904288125,0.832037405342178,3678138368,0.773185658468409,1.29335042502067
