file,original,physical end
193,95646908416,0
194,96183779328,0
195,96720650240,0
196,97257521152,0
197,97794392064,0
198,97813266432,0
199,98350137344,0
200,98887008256,95785500672.0
201,99423879168,0
202,99960750080,0
203,100497620992,0
204,101034491904,0
205,101571362816,0
206,102108233728,0
207,102645104640,0
208,103181975552,0
209,103220772864,0
210,103367573504,0
211,103904444416,0
212,104441315328,0
213,104978186240,0
214,105515057152,0
215,106051928064,0
216,106588798976,0
217,107125669888,0
218,107662540800,0
219,108199411712,0
220,108379766784,0
221,108916637696,0
222,109145227264,0
223,109682098176,0
224,110218969088,0
225,110755840000,0
226,111292710912,0
227,111829581824,0
228,112366452736,0
229,112903323648,0
230,113440194560,0
231,113977065472,0
232,114513936384,0
233,115050807296,0
234,115587678208,0
235,116124549120,0
236,116661420032,0
237,117198290944,0
238,117735161856,0
239,117803319296,0
240,118340190208,0
241,118877061120,0
242,119413932032,0
243,119950802944,0
244,120122769408,0
245,120659640320,0
246,120938561536,0
247,121475432448,0
248,122012303360,0
249,122549174272,0
250,123086045184,0
251,123622916096,0
252,124159787008,0
253,124696657920,0
254,124707143680,0
255,125244014592,0
256,125780885504,0
257,126317756416,0
258,126322999296,0
259,126859870208,0
260,127396741120,0
261,127480627200,0
262,128017498112,0
263,128554369024,0
264,129091239936,0
265,129628110848,0
266,130164981760,0
267,130701852672,0
268,131238723584,0
269,131775594496,0
270,132312465408,0
271,132849336320,0
272,133386207232,0
273,133923078144,0
274,134133841920,0
275,134466240512,0
276,135003111424,0
277,135539982336,0
278,136076853248,0
279,136613724160,0
280,137150595072,0
281,137687465984,0
282,138224336896,0
283,138761207808,0
284,139298078720,0
285,139834949632,0
286,140371820544,0
287,140908691456,0
288,141445562368,0
289,141822001152,0
290,142358872064,0
291,142895742976,0
292,143128526848,0
293,143183052800,0
294,143719923712,0
295,144256794624,0
296,144793665536,0
297,145330536448,0
298,145867407360,0
299,146404278272,0
300,146941149184,139912642560.0
301,147478020096,0
302,148014891008,0
303,148551761920,0
304,148895694848,0
305,149432565760,0
306,149969436672,0
307,150506307584,0
308,151043178496,0
309,151580049408,0
310,152116920320,0
311,152653791232,0
312,153190662144,0
313,153439174656,0
314,153976045568,0
315,154512916480,0
316,155049787392,0
317,155586658304,0
318,156123529216,0
319,156660400128,0
320,157197271040,0
321,157734141952,0
322,158271012864,0
323,158333927424,0
324,158870798336,0
325,159407669248,0
326,159944540160,0
327,160481411072,0
328,161018281984,0
329,161555152896,0
330,162092023808,0
331,162628894720,0
332,163165765632,0
333,163702636544,0
334,164239507456,0
335,164776378368,0
336,165313249280,0
337,165850120192,0
338,166386991104,0
339,166923862016,0
340,167460732928,0
341,167997603840,0
342,168534474752,0
343,168661352448,0
344,169191931904,0
345,169728802816,0
346,170265673728,0
347,170802544640,0
348,171339415552,0
349,171735777280,0
350,172272648192,0
351,172809519104,0
352,173346390016,0
353,173883260928,0
354,174420131840,0
355,174957002752,0
356,175493873664,0
357,175616557056,0
358,176153427968,0
359,176690298880,0
360,177227169792,0
361,177716854784,0
362,178253725696,0
363,178790596608,0
364,179327467520,0
365,179864338432,0
366,180401209344,0
367,180938080256,0
368,181474951168,0
369,182011822080,0
370,182548692992,0
371,183085563904,0
372,183622434816,0
373,184159305728,0
374,184696176640,0
375,185233047552,0
376,185769918464,0
377,186306789376,0
